Pregunta	Índice	A	B	C	D
Según la idea del symbolon en Aristóteles, ¿qué representan directamente las palabras habladas que decimos en voz alta?	1	Las características materiales de los objetos de la naturaleza.	Las emociones, pensamientos y estados internos de nuestra mente.	La estructura gramatical de un texto escrito en un libro.	El ruido natural del ambiente físico que nos rodea.
Para San Agustín, ¿qué sucede en la mente humana cuando nuestros sentidos captan un signo?	2	Registramos la información física como si fuéramos una cámara sin interpretarla.	Descartamos automáticamente las impresiones que no pertenecen al lenguaje escrito.	La percepción de la cosa física nos lleva de inmediato a pensar en otra idea distinta.	Medimos la cantidad de ruido que interfirió en el canal de comunicación.
¿Cuál es la diferencia principal entre la lengua y el habla según Saussure?	1	La lengua es escrita y el habla es exclusivamente sonora.	La lengua es el sistema social abstracto que compartimos y el habla es su uso individual.	La lengua es el mensaje decodificado y el habla es el canal técnico.	La lengua pertenece al emisor y el habla es propiedad del receptor del mensaje.
¿Cómo se estructura un signo lingüístico según el modelo de Saussure?	1	Por la conexión directa entre la palabra y el objeto físico en el mundo real.	Mediante la relación inquebrantable entre un significante físico y un significado mental.	Por la cantidad de peso en bits que tiene la palabra en un canal digital.	A través de un representamen, un objeto dinámico y un interpretante.
En el modelo de Peirce, ¿cuál de los tres elementos corresponde al efecto, la idea mental o la acción que el signo provoca en quien lo lee?	2	El objeto dinámico.	El ruido del canal.	El interpretante.	El soporte técnico.
En la teoría de Charles Peirce, ¿qué determina si un signo funciona como ícono, índice o símbolo?	0	La relación específica que se establece entre el representamen y el objeto.	El grado de polisemia que el interpretante logra anclar en el mensaje.	La intención consciente que tiene el emisor al momento de enviar el mensaje.	La conexión ideológica entre la connotación y la denotación de la imagen.
Desde la teoría de Peirce, ¿por qué un gesto inventado por ti mismo para recordar una tarea personal (como cambiar un anillo de dedo) funciona como un símbolo?	2	Porque el gesto guarda una semejanza visual con la tarea que intentas recordar.	Porque existe una conexión térmica y material de causa y efecto entre el anillo y el cerebro.	Porque su relación con la tarea depende de una regla o hábito de asociación mental.	Porque la sociedad impone recordar como un deber social.
Al revisar un retrato corporativo para LinkedIn de un gerente con traje formal y brazos cruzados, ¿qué información pertenece al nivel de la connotación?	2	El color azul marino de la tela del traje usado por el sujeto.	La pose física de cruzar los brazos frente al pecho.	La sensación de autoridad que proyecta la imagen en el espectador.	La iluminación artificial que cae sobre el rostro del gerente.
¿A qué se refiere Barthes cuando habla del mensaje icónico no codificado en su análisis de la fotografía?	0	A la ilusión de que la fotografía calca la realidad de forma mecánica sin añadir reglas de sentido.	Al texto lingüístico que ancla el sentido de los vegetales frescos.	A los símbolos matemáticos invisibles que permiten comprimir la imagen en internet.	A los connotadores ideológicos esparcidos por toda la composición artística.
En la diagramación de un portal de noticias, ¿cuál es el objetivo comunicativo de poner un pie de foto (anclaje) debajo de una imagen ambigua?	1	Fomentar la polisemia de la imagen para que cada lector invente su propia historia de los hechos.	Frenar los múltiples significados posibles y guiar al lector hacia la interpretación correcta de la noticia.	Sustituir el mensaje icónico no codificado por una fórmula matemática pura.	Demostrar que los signos naturales operan sin intención de comunicar nada.
¿Cómo interactúan los connotadores con el mensaje literal para formar la retórica de una imagen comercial?	1	Destruyen la información denotativa para reemplazarla por puro ruido técnico.	Son pequeños detalles formales dispersos que, al unirse, inyectan los valores ideológicos y culturales sobre la escena literal.	Operan como signos naturales involuntarios que el fotógrafo no pudo controlar en el set.	Se ubican exclusivamente en el texto escrito de la publicidad, abandonando completamente la sustancia visual de la fotografía.
